Sportart,Sportartengruppe,Jahr,Jahreskurse,Saisonkurse,Sammellager,Total Kurse,Angebote,Kleingruppe,Grossgruppe,Kursdauer in Min. 90,Kursdauer in Min. 90 2,Trainings pro Woche 1,Trainings pro Woche 2,Trainings pro Woche 3,Trainings pro Woche 4,Trainings pro Woche 5,Wettkampf-kategorie 0,Wettkampf-kategorie 1,Wettkampf-kategorie 2,Wettkampf-kategorie 3,Trainingslagertage,Knaben,Mädchen,Total Teilnehmer,Anzahl tätige Leiter,Leiteraktivitäten,J+S-Kurspauschale,Coach entschädigung,Total Auszahlungen
Rettungsschwimmen,Schwimmsport,2004,98,83,,181,63,44,137,121,60,169,12,0,0,0,105,57,18,1,114,963,1592,2555,564,8861,99901,7997,107898
Rhönrad,Rhönrad,2004,6,4,,10,5,4,6,0,10,8,1,1,0,0,6,4,0,0,0,5,89,94,22,469,6208,497,6705
Rhythmische Gymnastik,Gymnastik und Tanz,2004,10,82,,92,33,64,28,1,91,46,16,23,7,0,45,24,16,7,147,1,683,684,207,4821,58198,4655,62853
Ringen,Ringen,2004,45,30,,75,37,30,45,0,75,30,33,12,0,0,7,18,31,19,173,691,64,755,212,8562,85508,6841,92349
Rock n` Roll,Gymnastik und Tanz,2004,51,20,,71,26,26,45,22,49,45,12,13,1,0,43,7,7,14,86,273,471,744,140,6207,63771,5102,68873
Rollhockey,Rollsport,2004,4,51,,55,16,19,36,0,55,28,24,3,0,0,18,15,13,9,29,569,87,656,97,2284,34906,2655,37561
Rollkunstlauf,Rollsport,2004,2,11,,13,5,8,5,4,9,2,6,5,0,0,3,7,2,1,6,19,88,107,25,857,8920,714,9634
Rugby,Rugby,2004,21,3,,24,10,6,18,1,23,18,6,0,0,0,2,15,7,0,42,351,6,357,66,2324,27401,2192,29593
Schwimmen,Schwimmsport,2004,466,405,,871,197,267,604,498,373,466,174,118,52,61,525,179,82,85,2303,4510,5599,10109,1814,64449,968356,77470,1045826
Schwingen,Nationalturnen,2004,200,32,,232,115,77,155,11,221,159,67,6,0,0,29,65,109,29,117,2846,51,2897,690,23303,231543,18501,250044
Speedskating (Rollsport),Rollsport,2004,3,4,,7,4,3,4,0,7,0,7,0,0,0,0,0,1,6,3,75,13,88,12,379,7737,619,8356
Squash,Squash,2004,45,36,,81,26,39,42,19,62,65,8,4,2,2,32,9,0,40,119,494,219,713,188,4443,71733,5742,77475
Strasse (Radsport),Radsport,2004,38,62,,100,60,61,39,2,98,45,29,16,2,8,17,26,26,31,330,855,154,1009,320,8250,93219,7385,100604
Streethockey,Landhockey,2004,16,3,,19,7,4,15,0,19,7,12,0,0,0,2,5,6,6,6,189,2,191,33,1595,26163,2093,28256
Synchronized Skating,Eislauf,2004,1,6,,7,4,1,6,1,6,3,3,1,0,0,1,2,0,4,14,1,106,107,17,558,6980,559,7539
Synchronschwimmen,Schwimmsport,2004,63,41,,104,31,59,45,15,89,12,40,34,13,5,34,35,25,10,352,23,931,954,250,11527,147620,11577,159197
Tanzsport,Gymnastik und Tanz,2004,4,4,,8,7,4,4,1,7,2,3,1,2,0,3,1,0,4,10,14,89,103,8,478,8226,657,8883
Tchoukball,Tchoukball,2004,0,12,,12,4,2,10,1,11,11,1,0,0,0,2,9,1,0,0,99,54,153,21,637,5777,462,6239
Tennis,Tennis,2004,545,4953,,5498,754,4545,953,3571,1927,5172,262,52,7,5,4295,711,306,186,1596,19441,14304,33745,8379,142754,1340777,107058,1447835
Tischtennis,Tischtennis,2004,184,87,,271,154,96,175,17,254,170,84,14,3,0,99,84,51,37,89,2579,449,3028,559,16240,231562,18536,250098
Trampolin,Geräte- und Kunstturnen,2004,23,16,,39,26,15,24,1,38,13,24,0,2,0,19,13,7,0,68,128,244,372,114,4640,39935,3196,43131
Trial (Radsport),Radsport,2004,2,0,,2,2,0,2,0,2,0,2,0,0,0,1,1,0,0,6,37,3,40,7,174,3553,284,3837
Triathlon,Triathlon,2004,11,19,,30,24,18,12,6,24,3,10,10,0,7,9,6,5,10,136,186,136,322,96,3090,41911,3353,45264
Turnen,Turnen,2004,1906,2217,,4123,1491,1077,3046,756,3367,3579,516,22,4,2,1753,1801,407,162,1887,20561,33072,53633,9656,220093,2579096,205982,2785078
Unihockey,Unihockey,2004,424,422,,846,245,151,695,31,815,416,350,71,9,0,204,371,179,92,1005,8915,1972,10887,1457,53385,936346,74561,1010907
Volleyball,Volleyball,2004,759,631,,1390,422,295,1095,93,1297,959,363,54,8,6,428,468,272,222,1125,3076,13583,16659,2399,72412,1332512,105883,1438395
Voltigieren (Pferdesport),Pferdesport,2004,38,25,,63,29,35,28,17,46,39,18,4,1,1,28,24,7,4,143,23,494,517,63,3197,50733,4059,54792
Wasserball,Schwimmsport,2004,28,29,,57,23,13,44,8,49,16,15,14,9,3,12,10,22,13,155,566,106,672,99,5206,95605,7649,103254
Wasserspringen,Schwimmsport,2004,16,17,,33,11,26,7,7,26,16,13,3,0,1,15,12,4,2,152,130,124,254,62,1986,28299,2263,30562
Badminton,Badminton,2005,279,148,3,427,153,105,322,70,357,351,55,13,3,5,204,93,79,51,267,2668,2477,5145,1014,18759,369066,29661,398727
Bahn (Radsport),Radsport,2005,1,1,0,2,2,0,2,0,2,1,1,0,0,0,1,0,1,0,0,22,10,32,7,74,2349,188,2537
Baseball/Softball,Baseball/Softball,2005,1,44,0,45,19,24,21,2,43,30,14,1,0,0,21,8,12,4,10,339,75,414,100,751,21770,1774,23544
Basketball,Basketball,2005,524,285,3,809,169,101,708,36,773,247,397,150,10,5,103,248,305,153,590,7255,3375,10630,1352,53254,1204240,97722,1301962
BMX (Radsport),Radsport,2005,8,30,1,38,21,14,24,6,32,24,13,1,0,0,11,4,7,16,33,426,95,521,93,159,30278,2451,32729
Curling,Curling,2005,3,60,0,63,23,44,19,4,59,47,15,1,0,0,10,26,12,15,43,284,197,481,133,2222,27547,2246,29793
Eishockey,Eishockey,2005,416,351,5,767,161,134,633,98,669,93,311,293,54,16,154,84,138,391,1866,11388,324,11712,1979,104010,1424405,115714,1540119
Eiskunstlauf/ Eistanz,Eislauf,2005,64,327,5,391,82,230,161,308,83,241,77,32,27,14,213,106,36,36,615,167,3379,3546,847,22999,218453,17700,236153
Eisschnelllauf/ Short Track,Eislauf,2005,0,4,0,4,3,2,2,0,4,0,3,1,0,0,1,2,1,0,5,9,30,39,7,227,2807,236,3043
Faustball,Turnen,2005,21,69,5,90,34,26,64,10,80,63,24,3,0,0,19,34,19,18,136,604,414,1018,208,2915,70187,5772,75959
Fechten,Fechten,2005,71,80,1,151,42,34,117,33,118,79,51,14,7,0,58,48,24,21,90,1404,618,2022,312,6908,148093,11741,159834
Fussball,Fussball,2005,953,8773,105,9726,1583,1244,8482,250,9476,2279,5720,1418,201,108,814,976,6111,1825,6588,128370,11204,139574,13029,152236,10735750,922609,11658359
Geräteturnen,Geräte- und Kunstturnen,2005,553,687,11,1240,521,331,909,49,1191,630,513,84,12,1,432,504,212,92,850,4238,12185,16423,3385,71599,1174865,96020,1270885
Gymnastik und Tanz,Gymnastik und Tanz,2005,305,258,1,563,229,181,382,247,316,492,63,6,1,1,410,108,26,19,132,114,6416,6530,824,16558,324904,26310,351214
Handball,Handball,2005,560,390,6,950,204,105,845,50,900,353,417,142,27,11,140,280,359,171,1530,8817,4018,12835,1673,70304,1398261,114459,1512720
Inlinehockey,Rollsport,2005,35,12,0,47,18,12,35,1,46,23,24,0,0,0,0,10,26,11,61,620,29,649,73,243,62905,5056,67961
Judo,Judo,2005,709,734,17,1443,293,345,1098,471,972,1317,107,17,2,0,949,200,126,168,655,12879,5169,18048,3168,33292,911093,74185,985278
Ju-Jitsu,Ju-Jitsu,2005,64,98,1,162,75,62,100,57,105,139,19,4,0,0,160,1,1,0,40,1084,752,1836,357,3625,84259,6945,91204
Karate,Karate,2005,462,504,14,966,196,223,743,559,407,523,357,65,17,4,575,261,83,47,534,8058,4202,12260,2065,31407,811030,67378,878408
Korbball,Turnen,2005,46,67,2,113,66,44,69,16,97,86,27,0,0,0,35,34,22,22,47,444,814,1258,234,4189,77720,6238,83958
Kunstradfahren,Radsport,2005,32,33,0,65,28,51,14,11,54,38,21,5,1,0,27,17,12,9,80,57,425,482,127,2726,38973,3177,42150
Kunstturnen,Geräte- und Kunstturnen,2005,102,116,0,218,128,128,90,1,217,50,54,52,47,15,69,68,41,40,415,947,1071,2018,682,20613,275992,22677,298669
Landhockey,Landhockey,2005,49,22,2,71,18,13,58,4,67,38,33,0,0,0,10,34,17,10,134,632,230,862,207,5553,86730,6946,93676
Leichtathletik,Leichtathletik,2005,489,886,23,1375,469,333,1042,86,1289,705,386,171,84,29,327,379,276,393,2473,9211,9948,19159,3670,77405,1516919,125785,1642704
Mountainbike,Radsport,2005,34,54,3,88,51,43,45,11,77,62,19,7,0,0,41,17,12,18,165,838,163,1001,315,2506,59172,4825,63997
Nationalturnen,Nationalturnen,2005,18,15,0,33,24,18,15,0,33,28,5,0,0,0,11,10,6,6,7,308,11,319,63,931,20992,1703,22695
Orientierungslauf,Orientierungslauf,2005,33,73,10,106,52,29,77,14,92,88,15,3,0,0,20,17,24,45,374,699,533,1232,554,1897,88267,7370,95637
Quer (Radsport),Radsport,2005,6,4,0,10,7,5,5,1,9,6,3,1,0,0,3,2,2,3,65,118,10,128,30,643,12555,1005,13560
Radball,Radsport,2005,9,24,0,33,17,16,17,0,33,24,7,2,0,0,16,8,2,7,33,298,12,310,67,580,23600,2010,25610
Reiten,Pferdesport,2005,114,144,2,258,53,218,40,116,142,233,19,5,1,0,213,17,9,19,227,118,1630,1748,321,4286,89114,7300,96414
Rettungsschwimmen,Schwimmsport,2005,94,83,0,177,60,53,124,115,62,167,10,0,0,0,103,54,18,2,170,839,1338,2177,530,6283,96325,7854,104179
Rhönrad,Rhönrad,2005,12,8,0,20,7,8,12,0,20,18,1,1,0,0,12,7,0,1,39,4,208,212,33,493,13822,1106,14928
Rhythmische Gymnastik,Gymnastik und Tanz,2005,15,80,0,95,39,63,32,4,91,36,23,26,10,0,33,23,21,18,52,14,708,722,215,3924,69949,5711,75660
Ringen,Ringen,2005,54,19,1,73,32,22,51,1,72,29,36,8,0,0,13,15,29,16,187,794,56,850,226,3549,100113,8135,108248
Rock n` Roll,Gymnastik und Tanz,2005,54,21,1,75,27,31,44,26,49,51,16,6,2,0,49,6,7,13,110,273,459,732,152,3655,62016,5043,67059
Rollhockey,Rollsport,2005,7,37,0,44,10,13,31,2,42,20,18,6,0,0,5,22,14,3,6,500,60,560,75,813,37194,2994,40188
Rollkunstlauf,Rollsport,2005,3,6,0,9,3,5,4,0,9,3,3,3,0,0,3,6,0,0,0,8,70,78,20,108,6487,563,7050
Rugby,Rugby,2005,15,8,0,23,11,8,15,3,20,21,2,0,0,0,3,15,5,0,24,299,9,308,47,1458,18102,1465,19567
Schwimmen,Schwimmsport,2005,444,386,9,830,191,305,525,489,341,465,146,113,56,50,494,166,84,86,1966,4009,5271,9280,1802,49783,866278,70013,936291
Schwingen,Nationalturnen,2005,206,25,4,231,112,85,146,14,217,181,45,5,0,0,34,49,73,75,130,2783,26,2809,717,12740,221887,17776,239663
Speedskating (Rollsport),Rollsport,2005,5,11,0,16,11,9,7,0,16,9,6,1,0,0,4,1,1,10,14,108,66,174,39,336,10567,854,11421
Squash,Squash,2005,24,33,0,57,21,21,36,10,47,46,4,3,2,2,19,9,1,28,92,356,161,517,120,2145,55351,4445,59796
Strasse (Radsport),Radsport,2005,40,48,1,88,56,59,29,9,79,53,22,7,1,5,24,17,13,34,245,647,99,746,248,3007,68868,5780,74648
Streethockey,Landhockey,2005,29,4,0,33,12,9,24,3,30,15,18,0,0,0,3,10,7,13,12,367,14,381,54,2645,44313,3546,47859
Synchronized Skating,Eislauf,2005,1,3,0,4,4,1,3,2,2,3,1,0,0,0,4,0,0,0,0,1,61,62,5,94,2294,192,2486
Synchronschwimmen,Schwimmsport,2005,62,35,0,97,30,44,53,9,88,20,30,24,17,6,41,28,17,11,286,19,902,921,235,8787,146419,11277,157696
Tanzsport,Gymnastik und Tanz,2005,4,16,0,20,13,6,14,10,10,14,3,2,1,0,13,0,1,6,0,70,163,233,31,435,10905,911,11816
Tchoukball,Tchoukball,2005,16,3,0,19,6,4,15,1,18,17,2,0,0,0,10,5,2,2,0,177,72,249,37,1058,16293,1303,17596
Tennis,Tennis,2005,612,5779,34,6391,751,5520,871,4333,2058,6107,219,56,3,6,5137,611,350,293,1432,25928,14163,40091,9353,81102,1428403,121724,1550127
Tischtennis,Tischtennis,2005,214,77,0,291,162,90,201,26,265,191,79,16,5,0,114,82,43,52,88,2572,538,3110,596,17369,260899,20883,281782
Trampolin,Geräte- und Kunstturnen,2005,16,21,0,37,26,23,14,1,36,14,21,1,1,0,16,11,5,5,29,90,195,285,113,2238,30758,2520,33278
Trial (Radsport),Radsport,2005,2,3,0,5,4,3,2,1,4,1,4,0,0,0,3,1,1,0,0,37,9,46,11,188,2998,255,3253
Triathlon,Triathlon,2005,8,20,1,28,23,17,11,15,13,12,8,6,2,0,14,3,5,6,49,125,120,245,81,1249,18551,1566,20117
Turnen,Turnen,2005,1909,2148,21,4057,1415,1142,2915,732,3325,3561,475,15,5,1,1797,1683,425,152,1445,20087,30755,50842,9791,153878,2497252,202649,2699901
Unihockey,Unihockey,2005,523,337,3,860,231,128,732,34,826,423,374,58,5,0,217,412,170,61,884,9119,2046,11165,1467,53394,1015375,82205,1097580
Volleyball,Volleyball,2005,866,551,5,1417,420,281,1136,86,1331,1018,339,48,11,1,495,432,299,191,993,3081,14165,17246,2506,67911,1394105,112597,1506702
Voltigieren (Pferdesport),Pferdesport,2005,32,10,1,42,20,22,20,5,37,16,19,4,2,1,14,19,7,2,182,24,332,356,47,3015,50399,4054,54453
Wasserball,Schwimmsport,2005,39,20,0,59,20,13,46,11,48,21,12,16,6,4,22,9,17,11,195,594,111,705,104,3808,100418,8337,108755
Wasserspringen,Schwimmsport,2005,12,13,,25,9,20,5,2,23,8,12,4,0,1,11,7,5,2,51,80,102,182,48,1683,18436,1501,19937
Badminton,Badminton,2006,296,140,8,436,147,111,325,86,350,354,57,17,3,5,194,109,62,71,182,2754,2464,5218,1057,,393692,39283,432975
Bahn (Radsport),Radsport,2006,6,5,0,11,6,5,6,1,10,10,1,0,0,0,4,1,2,4,45,104,16,120,46,,8779,772,9551
Baseball/Softball,Baseball/Softball,2006,1,50,1,51,22,26,25,3,48,33,15,2,1,0,26,9,11,5,10,355,95,450,111,,26336,2634,28970
Basketball,Basketball,2006,542,228,7,770,156,122,648,48,722,259,377,118,12,4,128,242,236,164,568,6593,3224,9817,1288,,1201345,119971,1321316
BMX (Radsport),Radsport,2006,16,15,2,31,13,9,22,2,29,19,12,0,0,0,7,4,10,10,16,315,40,355,75,,27758,2596,30354
Curling,Curling,2006,6,77,0,83,28,60,23,3,80,64,19,0,0,0,25,24,15,19,8,360,230,590,175,,33352,3285,36637
Eishockey,Eishockey,2006,481,304,14,785,163,134,651,81,704,130,352,259,39,5,176,81,159,369,1650,11425,417,11842,2040,,1544836,153108,1697944
Eiskunstlauf/ Eistanz,Eislauf,2006,103,352,21,455,90,282,173,342,113,302,68,45,26,14,280,89,43,43,531,232,3605,3837,869,,241183,23406,264589
